stimulus_id,seed,exemplar,shape_level,shape_family,appendage_level,appendage_family,appendage_count,texture_level,texture_family,colour_level,colour_name,colour_hue_deg,colour_chroma,colour_luminance_Lstar,srgb_r,srgb_g,srgb_b,srgb_relative_luminance,body_area_vector,body_perimeter_vector,body_area_pixels,object_area_pixels,body_bbox_width,body_bbox_height,object_bbox_width,object_bbox_height,svg_path,png_path,body_mask_path,object_mask_path
microbe_00057,2021264845,0,0,round,0,none,0,2,stripes,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00057.svg,png/microbe_00057.png,masks/body/microbe_00057.png,masks/object/microbe_00057.png
microbe_00058,1238739595,1,0,round,0,none,0,2,stripes,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.94338405877,885.1523966668401,62689,62689,287.0374914166261,276.4448089448497,287.0374914166261,276.4448089448497,svg/microbe_00058.svg,png/microbe_00058.png,masks/body/microbe_00058.png,masks/object/microbe_00058.png
microbe_00059,1010129537,2,0,round,0,none,0,2,stripes,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.94338405505,885.7788243913502,62676,62676,290.2798523548071,273.63695492585185,290.2798523548071,273.63695492585185,svg/microbe_00059.svg,png/microbe_00059.png,masks/body/microbe_00059.png,masks/object/microbe_00059.png
microbe_00060,301191967,3,0,round,0,none,0,2,stripes,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.9433840625,885.1569730962937,62693,62693,288.75479422830165,274.37030292082716,288.75479422830165,274.37030292082716,svg/microbe_00060.svg,png/microbe_00060.png,masks/body/microbe_00060.png,masks/object/microbe_00060.png
microbe_00061,631971003,0,0,round,0,none,0,2,stripes,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00061.svg,png/microbe_00061.png,masks/body/microbe_00061.png,masks/object/microbe_00061.png
microbe_00062,2095216765,1,0,round,0,none,0,2,stripes,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.943384066224,884.856289589439,62680,62680,285.9654757654572,276.88277204171357,285.9654757654572,276.88277204171357,svg/microbe_00062.svg,png/microbe_00062.png,masks/body/microbe_00062.png,masks/object/microbe_00062.png
microbe_00063,405027786,2,0,round,0,none,0,2,stripes,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.943384066224,885.5002417704891,62680,62680,287.2411928655175,276.7772406218472,287.2411928655175,276.7772406218472,svg/microbe_00063.svg,png/microbe_00063.png,masks/body/microbe_00063.png,masks/object/microbe_00063.png
microbe_00064,653845644,3,0,round,0,none,0,2,stripes,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.9433840625,884.8958823759917,62683,62683,284.7315243775803,278.56182044142133,284.7315243775803,278.56182044142133,svg/microbe_00064.svg,png/microbe_00064.png,masks/body/microbe_00064.png,masks/object/microbe_00064.png
microbe_00065,62339593,0,0,round,0,none,0,2,stripes,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00065.svg,png/microbe_00065.png,masks/body/microbe_00065.png,masks/object/microbe_00065.png
microbe_00066,540975114,1,0,round,0,none,0,2,stripes,6,violet,275,48.0,60.0,80,147,229,0.2823005310965488,62280.94338406995,884.7404457747448,62655,62655,283.2588742884954,279.8179556199005,283.2588742884954,279.8179556199005,svg/microbe_00066.svg,png/microbe_00066.png,masks/body/microbe_00066.png,masks/object/microbe_00066.png
